year;code;city;type;GDP;GDPPC
2010;1720150;São Félix do Tocantins;Centro Local;11116,648;7693,18
2010;1720200;São Miguel do Tocantins;Centro Local;45731,461;4359,53
2010;1720259;São Salvador do Tocantins;Centro Local;31645,884;10874,87
2010;1720309;São Sebastião do Tocantins;Centro Local;21421,672;5001,56
2010;1720499;São Valério;Centro Local;36556,367;8338,59
2010;1720655;Silvanópolis;Centro Local;46899,994;9248,67
2010;1720804;Sítio Novo do Tocantins;Centro Local;43776,217;4785,33
2010;1720853;Sucupira;Centro Local;20787,516;11953,72
2010;1720903;Taguatinga;Centro de Zona;110350,203;7330,78
2010;1720937;Taipas do Tocantins;Centro Local;12508,239;6430,97
2010;1720978;Talismã;Centro Local;36606,214;14288,14
